title,genre,stage_director,country,year
Аленький цветочек,фильм-сказка,Ирина Поволоцкая,СССР,1977
Алёнка из Почитанки,,Сергей Русаков,Россия,2014
Алёнка,комедия,Борис Барнет,СССР,1961
Алексеич,,Людмила Салдадзе,,1970
Александра,драма,Александр Сокуров,Россия,2007
Александр. Невская битва,исторический фильм,Игорь Калёнов,Россия,2008
Александр Попов,кинобиография,Герберт Раппапорт,СССР,1949
Александр Пархоменко,,Леонид Луков,СССР,1942
Александр Невский,киноэпопея,Сергей Эйзенштейн,СССР,1938
Александр Маленький,драма,Владимир Фокин,СССР,1981
"Александр и ужасный, кошмарный, нехороший, очень плохой день",комедийный фильм,Мигель Артета,США,2014
Александр Великий,пеплум,Роберт Россен,США,1956
Александр,биографическая,Оливер Стоун,Франция,2004
Аль Капоне,гангстерский фильм,Ричард Уилсон,США,1959
Алый час,Фильм нуар,Майкл Кёртис,США,1956
Алый первоцвет,драматический фильм,Клайв Доннер,Великобритания,1982
Алый первоцвет,приключенческий фильм,Харольд  Янг,Великобритания,1934
Алый камень,,Валерий Исаков,СССР,1986
Алый знак доблести,драма,Ли Филипс,США,
Алый знак доблести,,Джон Хьюстон,США,1951
Алые розы,,Джузеппе Амато,Италия,1940
Алые паруса,мелодрама,Александр Птушко,СССР,1961
Алые паруса,документальный,"Петр Форман, Мирослав Янек",Чехия,2001
Алые маки Иссык-Куля,истерн,Болотбек Шамшиев,СССР,1971
Алчность,мистическая,Эрих фон Штрогейм,США,1924
Алхимики,,Дмитрий Астрахан,Россия,2000
Алхимик,фэнтези,Яцек Копрович,Польша,1989
"Алукарда, дочь тьмы",Ужасы,Хуан Лопез Моктезума,Мексика,1977
Алпамыс идёт в школу,,Абдулла Карсакбаев,СССР,1976
Алое и чёрное,драма,Джерри Лондон,США,1983
Алоха,драма,Кэмерон Кроу,США,2015
Алмас,драма,Ага-Рза Кулиев,СССР,1936
Алмания — Добро пожаловать в Германию,драматический фильм,Ясмин Самдерели,Германия,12 февраля
Алмазы,драма,Иван Правов,СССР,1947
Алмазная тропа,кинодрама,Владимир Хмельницкий,СССР,1978
Алмаз Брахмы,драматический фильм,Дэвид Уорк Гриффит,США,1909
Алмаз,документальный,Эльнура Осмоналиева,Кыргызстан,
"Алло, колл-центр слушает!",мелодрама,Атул Агнихотри,Индия,2008
"Алло, Варшава!",,Ольгерд Воронцов,СССР,1971
